duracion_dias,monto_pagado,infracciones_previas,tipo_vehiculo,zona_circulacion
28.0,102875.69,1,Furgoneta,Zona D
20.0,6341.74,0,Bicicleta,Zona C
5.0,92238.12,1,Camion,Zona A
8.0,9604.68,1,Bicicleta,Zona D
12.0,9292.32,2,Bicicleta,Zona D
2.0,16411.77,1,Moto,Zona C
12.0,171723.33,0,Camion,Zona D
5.0,112582.36,0,Camion,Zona D
22.0,122481.43,0,Camion,Zona A
5.0,7287.01,0,Bicicleta,Zona A
13.0,53533.67,4,Furgoneta,Zona A
9.0,146468.08,1,Camion,Zona B
10.0,5434.33,0,Monopatin,Zona B
1.0,6067.8,0,Bicicleta,Zona A
3.0,32081.0,0,Moto,Zona A
18.0,81316.09,0,Furgoneta,Zona B
12.0,5114.57,0,Monopatin,Zona C
29.0,7664.78,0,Monopatin,Zona D
3.0,12940.0,0,Moto,Zona D
26.0,41091.11,0,Furgoneta,Zona A
25.0,4649.59,1,Bicicleta,Zona C
29.0,55454.5,1,Coche,Zona B
9.0,71382.95,2,Coche,Zona A
26.0,22903.4,0,Moto,Zona C
2.0,3586.38,2,Monopatin,Zona C
3.0,11996.6,1,Bicicleta,Zona C
14.0,128024.43,0,Furgoneta,Zona B
4.0,63483.57,0,Coche,Zona B
25.0,27390.71,0,Coche,Zona D
19.0,102471.71,0,Camion,Zona D
13.0,149788.6,0,Camion,Zona C
7.0,24656.28,2,Moto,Zona C
12.0,101653.29,0,Furgoneta,Zona B
3.0,109947.57,0,Furgoneta,Zona D
23.0,7860.79,0,Monopatin,Zona C
23.0,4017.7,1,Monopatin,Zona D
9.0,5121.93,3,Monopatin,Zona D
2.0,104132.52,5,Camion,Zona C
29.0,79645.365,0,Furgoneta,Zona B
22.0,96838.11,0,Furgoneta,Zona C
9.0,58451.63,2,Coche,Zona C
12.0,100314.26,0,Camion,Zona D
12.0,4164.67,1,Bicicleta,Zona C
15.0,106171.56,5,Camion,Zona B
2.0,9754.7,1,Bicicleta,Zona C
18.0,70059.99,0,Coche,Zona B
13.0,19655.66,2,Moto,Zona B
14.0,106584.71,4,Furgoneta,Zona D
5.0,59337.06,1,Coche,Zona A
26.0,89917.62,0,Furgoneta,Zona A
10.0,3059.67,4,Monopatin,Zona D
12.0,15624.28,4,Moto,Zona C
10.0,18769.11,3,Moto,Zona D
24.0,45104.19,0,Coche,Zona B
11.0,38505.6,2,Moto,Zona A
25.0,6410.64,1,Bicicleta,Zona D
2.0,30784.39,0,Moto,Zona C
5.0,68845.68,1,Furgoneta,Zona D
15.0,91344.98,1,Furgoneta,Zona A
15.0,78488.45,3,Furgoneta,Zona B
22.0,84248.56,2,Furgoneta,Zona D
23.0,8887.08,0,Bicicleta,Zona A
3.0,111019.54,0,Camion,Zona B
13.0,5561.7,0,Monopatin,Zona B
3.0,68508.74,3,Coche,Zona A
15.0,61901.23,0,Furgoneta,Zona D
25.0,33893.99,1,Moto,Zona A
24.0,73635.13,1,Furgoneta,Zona B
21.0,22217.56,3,Moto,Zona C
6.0,6049.34,0,Monopatin,Zona D
11.0,4488.26,1,Monopatin,Zona B
28.0,5478.75,4,Monopatin,Zona D
26.0,26693.11,1,Moto,Zona A
17.0,29996.31,0,Coche,Zona C
10.0,5626.38,0,Monopatin,Zona A
12.0,4541.36,2,Bicicleta,Zona C
17.0,14763.39,0,Moto,Zona D
4.0,27748.48,1,Moto,Zona D
2.0,92878.15,1,Furgoneta,Zona A
11.0,34037.87,5,Moto,Zona C
7.0,16829.74,0,Moto,Zona C
2.0,3888.08,1,Monopatin,Zona D
26.0,91144.78,0,Furgoneta,Zona A
18.0,6836.42,0,Monopatin,Zona C
21.0,5288.26,0,Monopatin,Zona D
4.0,58928.03,2,Furgoneta,Zona B
8.0,72596.26,2,Coche,Zona A
20.0,4606.45,0,Monopatin,Zona B
14.0,7445.12,0,Bicicleta,Zona A
12.0,4553.97,1,Bicicleta,Zona D
22.0,30430.66,1,Moto,Zona C
21.0,10046.25,1,Bicicleta,Zona C
27.0,19706.27,5,Coche,Zona C
18.0,76268.11,2,Coche,Zona A
11.0,65908.92,0,Furgoneta,Zona D
15.0,95006.11,0,Furgoneta,Zona B
28.0,85367.58,1,Furgoneta,Zona D
8.0,3138.67,2,Bicicleta,Zona B
2.0,58158.55,0,Coche,Zona A
25.0,9089.9,1,Bicicleta,Zona A
15.0,3760.68,0,Bicicleta,Zona B
9.0,72880.0,3,Coche,Zona B
19.0,56872.83,2,Coche,Zona B
20.0,68591.02,0,Coche,Zona D
8.0,24258.39,0,Coche,Zona B
25.0,70149.62,0,Furgoneta,Zona A
19.0,162501.69,2,Camion,Zona A
5.0,63541.51,2,Camion,Zona C
11.0,44283.35,1,Coche,Zona B
15.0,134634.06,0,Camion,Zona D
15.0,51795.11,0,Camion,Zona D
19.0,30179.15,0,Coche,Zona D
23.0,169755.03,0,Camion,Zona C
27.0,8143.51,0,Bicicleta,Zona A
8.0,33825.25,0,Moto,Zona D
26.0,26365.72,0,Moto,Zona A
27.0,86838.45,1,Coche,Zona C
19.0,90529.57,3,Furgoneta,Zona B
18.0,69046.68,0,Coche,Zona B
10.0,74093.93,1,Furgoneta,Zona B
29.0,26580.47,0,Moto,Zona D
7.0,59628.06,1,Coche,Zona B
28.0,6211.71,3,Monopatin,Zona D
9.0,7906.42,0,Bicicleta,Zona C
1.0,120098.8,0,Camion,Zona C
19.0,92046.07,0,Furgoneta,Zona D
5.0,5751.89,1,Monopatin,Zona A
19.0,83097.9,1,Camion,Zona B
1.0,128098.6,0,Camion,Zona B
15.0,54811.61,0,Coche,Zona B
16.0,84852.55,2,Camion,Zona D
23.0,10174.22,0,Bicicleta,Zona C
7.0,5619.12,0,Monopatin,Zona B
26.0,203903.38,4,Camion,Zona C
12.0,49609.8,0,Coche,Zona B
8.0,10726.67,3,Bicicleta,Zona B
5.0,29043.44,4,Moto,Zona D
10.0,7882.16,0,Monopatin,Zona A
28.0,85080.69,1,Camion,Zona D
21.0,42570.29,1,Coche,Zona B
5.0,17982.19,2,Moto,Zona B
17.0,24415.62,0,Moto,Zona A
26.0,53006.62,2,Furgoneta,Zona C
5.0,4337.4,4,Bicicleta,Zona C
22.0,43196.75,2,Camion,Zona B
15.0,17037.96,3,Coche,Zona C
13.0,95753.4,1,Furgoneta,Zona B
28.0,6906.95,3,Bicicleta,Zona A
1.0,50389.95,0,Furgoneta,Zona A
11.0,4011.38,1,Monopatin,Zona B
23.0,6733.03,1,Bicicleta,Zona A
1.0,5684.96,0,Bicicleta,Zona D
15.0,177799.82,0,Camion,Zona D
18.0,11400.39,1,Bicicleta,Zona A
18.0,118123.76,0,Furgoneta,Zona B
21.0,8430.07,0,Bicicleta,Zona B
26.0,130096.72,0,Camion,Zona A
16.0,96505.89,5,Camion,Zona C
13.0,3729.39,0,Monopatin,Zona D
7.0,80521.41,2,Furgoneta,Zona C
1.0,29892.67,0,Moto,Zona B
26.0,33968.26,1,Moto,Zona B
15.0,6689.63,1,Bicicleta,Zona C
1.0,3120.9,1,Monopatin,Zona A
17.0,61009.77,2,Coche,Zona C
6.0,3636.46,2,Bicicleta,Zona C
2.0,4941.18,2,Monopatin,Zona D
17.0,82143.31,0,Furgoneta,Zona D
6.0,70909.09,1,Furgoneta,Zona C
14.0,42914.12,0,Furgoneta,Zona C
18.0,71225.34,0,Furgoneta,Zona B
6.0,79645.365,3,Furgoneta,Zona D
10.0,5887.58,3,Monopatin,Zona D
24.0,6742.57,0,Monopatin,Zona B
18.0,76180.73,3,Camion,Zona A
27.0,26917.81,2,Moto,Zona B
9.0,82120.17,0,Furgoneta,Zona D
8.0,51615.58,0,Coche,Zona A
28.0,5833.77,4,Monopatin,Zona D
10.0,52209.84,1,Coche,Zona D
17.0,32158.11,0,Coche,Zona A
23.0,59198.81,1,Coche,Zona A
29.0,150271.83,1,Camion,Zona C
26.0,6979.22,1,Monopatin,Zona B
6.0,70454.79,1,Coche,Zona B
14.0,91434.39,1,Furgoneta,Zona A
22.0,5257.19,1,Bicicleta,Zona A
22.0,27059.24,3,Coche,Zona D
6.0,111824.63,5,Camion,Zona C
26.0,6379.21,1,Monopatin,Zona C
7.0,150781.26,3,Camion,Zona A
12.0,54109.99,2,Coche,Zona D
3.0,4945.16,0,Monopatin,Zona D
14.0,12568.96,3,Bicicleta,Zona B
22.0,58610.48,0,Coche,Zona B
19.0,116858.17,0,Camion,Zona D
23.0,20159.19,1,Moto,Zona B
16.0,55793.47,1,Furgoneta,Zona A
7.0,80145.7,1,Camion,Zona D
8.0,3487.26,2,Monopatin,Zona B
15.0,54214.28,0,Coche,Zona C
15.0,79566.33,5,Furgoneta,Zona D
13.0,45111.28,0,Coche,Zona D
21.0,6104.72,4,Monopatin,Zona C
9.0,77137.62,0,Coche,Zona A
10.0,18824.9,1,Moto,Zona C
21.0,63817.13,0,Coche,Zona D
23.0,26790.74,1,Furgoneta,Zona A
27.0,4960.5,0,Monopatin,Zona B
9.0,24042.85,0,Moto,Zona B
15.0,49002.16,0,Coche,Zona B
20.0,48697.81,1,Coche,Zona D
2.0,6588.54,4,Bicicleta,Zona C
25.0,52890.29,0,Coche,Zona A
13.0,58356.03,1,Coche,Zona B
2.0,61761.75,2,Camion,Zona A
19.0,65103.36,0,Coche,Zona D
26.0,34797.27,0,Moto,Zona B
15.0,29105.91,0,Moto,Zona D
3.0,57570.68,0,Furgoneta,Zona C
6.0,4510.96,0,Monopatin,Zona D
3.0,10838.9,0,Bicicleta,Zona D
10.0,35326.69,0,Coche,Zona C
24.0,59429.66,2,Coche,Zona A
27.0,118172.21,2,Camion,Zona C
6.0,5240.29,2,Monopatin,Zona C
23.0,18731.71,1,Moto,Zona D
16.0,8793.59,0,Bicicleta,Zona A
17.0,86217.82,0,Furgoneta,Zona B
19.0,13679.81,0,Moto,Zona C
3.0,4993.33,1,Monopatin,Zona A
18.0,94733.53,3,Furgoneta,Zona C
7.0,106129.8,0,Camion,Zona C
9.0,31881.7,0,Camion,Zona C
20.0,48277.75,1,Coche,Zona C
12.0,7199.7,2,Monopatin,Zona D
15.0,7173.27,0,Bicicleta,Zona A
3.0,114287.63,0,Furgoneta,Zona A
11.0,18907.32,3,Moto,Zona A
25.0,3258.54,0,Monopatin,Zona C
4.0,4992.35,1,Monopatin,Zona B
15.0,90387.18,2,Coche,Zona C
1.0,54947.87,3,Coche,Zona C
27.0,44411.44,0,Coche,Zona A
28.0,115374.01,0,Furgoneta,Zona C
29.0,104099.97,0,Camion,Zona B
18.0,5134.61,1,Monopatin,Zona C
12.0,9431.21,1,Bicicleta,Zona B
13.0,154427.38,5,Camion,Zona C
9.0,115511.42,1,Furgoneta,Zona D
2.0,74363.28,1,Furgoneta,Zona D
5.0,105624.91,0,Camion,Zona A
13.0,34066.0,0,Furgoneta,Zona C
16.0,193501.61,0,Camion,Zona B
16.0,27707.23,0,Moto,Zona B
24.0,147065.09,2,Camion,Zona C
3.0,140006.24,1,Camion,Zona B
22.0,81188.84,0,Furgoneta,Zona D
4.0,88408.46,0,Furgoneta,Zona B
11.0,41605.06,0,Coche,Zona A
23.0,45468.52,0,Coche,Zona D
26.0,17873.46,2,Moto,Zona D
14.0,73358.66,4,Coche,Zona D
29.0,140213.32,0,Camion,Zona C
3.0,127428.14,2,Furgoneta,Zona C
16.0,84445.75,0,Coche,Zona D
22.0,28937.66,0,Coche,Zona C
15.0,32389.21,1,Moto,Zona B
28.0,2963.05,0,Monopatin,Zona C
10.0,26330.63,0,Moto,Zona C
9.0,131330.26,0,Camion,Zona D
11.0,49108.01,0,Furgoneta,Zona A
